Dates,monkey_growth
2020-08-01,16.33
2020-08-02,16.33
2020-08-03,16.33
2020-08-04,16.33
2020-08-05,16.33
2020-08-06,16.33
2020-08-07,16.33
2020-08-08,16.33
2020-08-09,16.33
2020-08-10,16.33
2020-08-11,16.33
2020-08-12,16.33
2020-08-13,16.33
2020-08-14,16.33
2020-08-15,16.33
2020-08-16,16.33
2020-08-17,16.33
2020-08-18,16.33
2020-08-19,16.33
2020-08-20,16.33
2020-08-21,16.33
2020-08-22,16.33
2020-08-23,16.33
2020-08-24,16.33
2020-08-25,16.33
2020-08-26,16.33
2020-08-27,16.33
2020-08-28,16.33
2020-08-29,16.33
2020-08-30,16.33
2020-08-31,16.33
