Country,Dates,Cases,Deaths
China,2020-05-01,991,6
China,2020-05-01,593,9
China,2020-05-01,579,6
China,2020-05-01,356,1
China,2020-05-01,139,2
China,2020-05-01,1588,8
China,2020-05-01,254,2
China,2020-05-01,147,2
China,2020-05-01,168,6
China,2020-05-01,328,6
China,2020-05-01,944,13
China,2020-05-01,1276,22
China,2020-05-01,1039,4
China,2020-05-01,68128,4512
China,2020-05-01,1019,4
China,2020-05-01,201,1
China,2020-05-01,653,0
China,2020-05-01,937,1
China,2020-05-01,112,1
China,2020-05-01,146,2
China,2020-05-01,45,0
China,2020-05-01,75,0
China,2020-05-01,18,0
China,2020-05-01,306,3
China,2020-05-01,787,7
China,2020-05-01,652,7
China,2020-05-01,197,0
China,2020-05-01,561,3
China,2020-05-01,190,3
China,2020-05-01,1,0
China,2020-05-01,76,3
China,2020-05-01,185,2
China,2020-05-01,1268,1
India,2020-05-01,37257,1223
US,2020-05-01,1110914,67808
China,2020-05-02,991,6
China,2020-05-02,593,9
China,2020-05-02,579,6
China,2020-05-02,356,1
China,2020-05-02,139,2
China,2020-05-02,1588,8
China,2020-05-02,254,2
China,2020-05-02,147,2
China,2020-05-02,168,6
China,2020-05-02,328,6
China,2020-05-02,944,13
China,2020-05-02,1276,22
China,2020-05-02,1039,4
China,2020-05-02,68128,4512
China,2020-05-02,1019,4
China,2020-05-02,201,1
China,2020-05-02,653,0
China,2020-05-02,937,1
China,2020-05-02,112,1
China,2020-05-02,146,2
China,2020-05-02,45,0
China,2020-05-02,75,0
China,2020-05-02,18,0
China,2020-05-02,306,3
China,2020-05-02,787,7
China,2020-05-02,652,7
China,2020-05-02,197,0
China,2020-05-02,561,3
China,2020-05-02,190,3
China,2020-05-02,1,0
China,2020-05-02,76,3
China,2020-05-02,185,2
China,2020-05-02,1268,1
India,2020-05-02,39699,1323
US,2020-05-02,1138916,69495
China,2020-05-03,991,6
China,2020-05-03,593,9
China,2020-05-03,579,6
China,2020-05-03,356,1
China,2020-05-03,139,2
China,2020-05-03,1588,8
China,2020-05-03,254,2
China,2020-05-03,147,2
China,2020-05-03,168,6
China,2020-05-03,328,6
China,2020-05-03,944,13
China,2020-05-03,1276,22
China,2020-05-03,1039,4
China,2020-05-03,68128,4512
China,2020-05-03,1019,4
China,2020-05-03,201,1
China,2020-05-03,653,0
China,2020-05-03,937,1
China,2020-05-03,112,1
China,2020-05-03,146,2
China,2020-05-03,45,0
China,2020-05-03,75,0
China,2020-05-03,18,0
China,2020-05-03,306,3
China,2020-05-03,788,7
China,2020-05-03,655,7
China,2020-05-03,198,0
China,2020-05-03,561,3
China,2020-05-03,190,3
China,2020-05-03,1,0
China,2020-05-03,76,3
China,2020-05-03,185,2
China,2020-05-03,1268,1
India,2020-05-03,42505,1391
US,2020-05-03,1163418,70591
China,2020-05-04,991,6
China,2020-05-04,593,9
China,2020-05-04,579,6
China,2020-05-04,356,1
China,2020-05-04,139,2
China,2020-05-04,1588,8
China,2020-05-04,254,2
China,2020-05-04,147,2
China,2020-05-04,168,6
China,2020-05-04,328,6
China,2020-05-04,944,13
China,2020-05-04,1276,22
China,2020-05-04,1040,4
China,2020-05-04,68128,4512
China,2020-05-04,1019,4
China,2020-05-04,201,1
China,2020-05-04,653,0
China,2020-05-04,937,1
China,2020-05-04,112,1
China,2020-05-04,146,2
China,2020-05-04,45,0
China,2020-05-04,75,0
China,2020-05-04,18,0
China,2020-05-04,306,3
China,2020-05-04,788,7
China,2020-05-04,656,7
China,2020-05-04,198,0
China,2020-05-04,561,3
China,2020-05-04,190,3
China,2020-05-04,1,0
China,2020-05-04,76,3
China,2020-05-04,185,2
China,2020-05-04,1268,1
India,2020-05-04,46437,1566
US,2020-05-04,1186820,71903
China,2020-05-05,991,6
China,2020-05-05,593,9
China,2020-05-05,579,6
China,2020-05-05,356,1
China,2020-05-05,139,2
China,2020-05-05,1588,8
China,2020-05-05,254,2
China,2020-05-05,147,2
China,2020-05-05,168,6
China,2020-05-05,328,6
China,2020-05-05,944,13
China,2020-05-05,1276,22
China,2020-05-05,1040,4
China,2020-05-05,68128,4512
China,2020-05-05,1019,4
China,2020-05-05,201,1
China,2020-05-05,653,0
China,2020-05-05,937,1
China,2020-05-05,112,1
China,2020-05-05,146,2
China,2020-05-05,45,0
China,2020-05-05,75,0
China,2020-05-05,18,0
China,2020-05-05,308,3
China,2020-05-05,788,7
China,2020-05-05,656,7
China,2020-05-05,198,0
China,2020-05-05,561,3
China,2020-05-05,190,3
China,2020-05-05,1,0
China,2020-05-05,76,3
China,2020-05-05,185,2
China,2020-05-05,1268,1
India,2020-05-05,49400,1693
US,2020-05-05,1211383,74207
China,2020-05-06,991,6
China,2020-05-06,593,9
China,2020-05-06,579,6
China,2020-05-06,356,1
China,2020-05-06,139,2
China,2020-05-06,1589,8
China,2020-05-06,254,2
China,2020-05-06,147,2
China,2020-05-06,168,6
